Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-01-07,352.9170837402344,353.6618195734626,349.94740201873657,350.12428175085216,68766800
2021-01-08,354.9278564453125,355.14195305315735,351.05516813608017,354.3041182519428,71677200
2021-01-11,352.5353698730469,354.29482021588973,351.632362830576,351.7533887862446,51034700
2021-01-12,352.60980224609375,353.6245167279708,350.3662482704432,352.72153817176564,52547700
2021-01-13,353.559326171875,354.55540366276205,351.75331247872055,352.5352933958839,45303600
2021-01-14,352.32122802734375,354.80683398556437,351.9861054675014,354.3041217359534,49989100
2021-01-15,349.7518615722656,351.50199335982205,347.88999385755534,350.70140387922305,107160000
2021-01-19,352.49810791015625,353.0380654699637,350.72933922047633,352.20952068020125,51233300
2021-01-20,357.3763427734375,358.2141778693531,354.39734197700756,354.78831843050153,61836100
2021-01-21,357.7020568847656,358.36304045364824,356.78044135246313,357.934790375537,47840100
2021-01-22,356.43597412109375,357.5996414893799,355.4677949159223,355.8494812219019,52860500
2021-01-25,357.8417053222656,358.1954363497445,352.3212455515999,357.1714317593944,70402000
2021-01-26,357.2831115722656,359.20083303759526,357.05037810890184,358.7912198692873,42665300
2021-01-27,348.55096435546875,354.05278710492604,346.31672868098127,353.95968803310404,123351100
2021-01-28,351.5486145019531,355.55161937828063,349.92879841681105,350.3663101277551,94198100
2021-01-29,344.5107421875,350.65491209093165,342.83504399028214,349.6867328043069,126765100
2021-02-01,350.2453308105469,351.2786539780254,344.79936089018344,347.9086772342032,75817600
2021-02-02,355.19781494140625,356.7524870405597,350.32904887111556,353.4290462295083,64450700
2021-02-03,355.4771423339844,357.19937586145977,354.2017673399159,356.026389967423,52427100
2021-02-04,359.5173645019531,359.56389983293474,355.5888223142449,356.5104377825251,47142600
2021-02-05,360.9324035644531,361.6399224767463,359.47085881489795,361.3885805309923,48669800
2021-02-08,363.5390625,363.5855978382445,361.52824155640604,362.38468496710107,38365200
2021-02-09,363.2969665527344,363.89277790526904,362.29157040764335,362.7011552001997,35551100
2021-02-10,363.1387023925781,365.18676844469576,360.73690530404883,365.0378156036463,59154400
2021-02-11,363.7252502441406,364.63757587962465,361.29552590667186,364.21864417530406,42913300
2021-02-12,365.52191162109375,365.7639351240039,362.8501073798465,362.9245980037026,50593300
2021-02-16,365.20538330078125,366.94625368053585,364.4885743748941,366.7507370926893,50972400
2021-02-17,365.2892150878906,365.54055704666837,362.440530839151,363.45527392535223,52290600
2021-02-18,363.73455810546875,364.47929399166895,360.9603643711448,362.68259806906747,59712800
2021-02-19,363.0921325683594,365.27983282306974,362.64527408765895,364.9912455990278,83241000
2021-02-22,360.29937744140625,362.7104930424211,360.0293986322245,360.3273043244353,67414200
2021-02-23,360.7369079589844,362.0867735591579,353.941101443955,358.0930589330605,107284100
2021-02-24,364.71197509765625,365.1402251600415,358.66090455980543,359.6476922516517,72433900
2021-02-25,355.92388916015625,364.814323544115,354.48095320744636,363.44584979128797,146670500
2021-02-26,354.0899963378906,358.9494723193458,352.1071310412466,357.8044418312601,152701600
2021-03-01,362.6732177734375,363.92069420530373,354.28552261817083,358.95880058810565,105348800
2021-03-02,359.84320068359375,363.1293962418053,359.34048841861335,362.89666276485025,79595300
2021-03-03,355.0767822265625,360.11310908007255,354.9743647355209,359.1449583838965,119940200
2021-03-04,350.68280029296875,357.47860618196836,346.19569221992555,354.89061115902405,183433000
2021-03-05,357.13421630859375,358.18617627812586,346.9032607012722,354.1831430171617,152039600
2021-03-08,355.3560791015625,360.9044370293171,355.07681030362994,358.09302696069,123149200
2021-03-09,360.4296569824219,362.9804065396195,358.6981053166281,359.20081753054825,113633600
2021-03-10,362.6732177734375,364.3675242968636,361.36062596963234,362.7756352759854,109899400
2021-03-11,366.3504333496094,368.3240087626398,364.6840536373491,365.14023058798864,86245000
2021-03-12,366.8437805175781,366.98341490924895,364.18132341690256,364.9912312984389,64653600
2021-03-15,369.03155517578125,369.2922155627964,364.95405965687513,367.0951965209388,73427200
2021-03-16,368.5660400390625,370.35341719951157,367.7933490003447,369.64592676134737,73722500
2021-03-17,369.82281494140625,370.6234044689322,366.13629619510306,367.28135513431295,97959300
2021-03-18,364.4420166015625,369.32010118927036,363.76242462104625,367.23481832610025,115349100
2021-03-19,363.7676696777344,365.71969051583625,361.59147356195604,364.141257136667,113624500
2021-03-22,366.6723937988281,368.0546989422797,364.2253628242193,364.28139952570655,73778600
2021-03-23,363.7863464355469,367.4849108087404,363.00180420504506,366.0372486874983,90686600
2021-03-24,361.9370422363281,366.8217830520808,361.89035449260405,365.1873129811931,97588600
2021-03-25,363.9731750488281,364.76703777153006,358.556056717537,360.4987572580339,116128600
2021-03-26,369.83856201171875,370.2401678212908,364.52419698725413,365.1219312266108,114409100
2021-03-29,369.6517333984375,370.55769790836075,366.8778031775711,368.36283249742354,108107600
2021-03-30,368.6711120605469,369.34358094645273,367.07398064220894,368.381579616897,76262200
2021-03-31,370.16546630859375,371.7252304449524,369.2128139187483,369.2408322683644,112734200
2021-04-01,374.162841796875,374.21890698843123,371.8932703973553,372.09874775674973,99682900
2021-04-05,379.5333251953125,380.0750513069228,376.7500740458587,376.8247801459603,91684800
2021-04-06,379.30914306640625,380.3551993878055,378.6366742165215,378.9729228929124,62021000
